t;teta(t);wr(t);erreur;pwm
19350052;190.84;-206.78;-10.84;255.00
19400052;180.50;-585.87;-0.50;255.00
19450052;151.21;758.18;28.79;255.00
19500052;189.11;-310.17;-9.11;255.00
19550052;173.61;224.01;6.39;255.00
19600052;184.81;-198.16;-4.81;255.00
19650052;174.90;198.16;5.10;255.00
19700052;184.81;-189.55;-4.81;255.00
19750052;175.33;206.78;4.67;255.00
19800056;185.67;-180.93;-5.67;255.00
19850056;176.62;-189.55;3.38;255.00
19900056;167.14;560.02;12.86;255.00
19950056;195.15;-249.86;-15.15;255.00
20000056;182.65;-206.78;-2.65;255.00
20050056;172.31;594.48;7.69;255.00
20100056;202.04;-249.86;-22.04;255.00
20150056;189.55;-206.78;-9.55;255.00
20200056;179.21;-603.10;0.79;255.00
20250056;149.05;758.18;30.95;255.00
20300056;186.96;-301.55;-6.96;255.00
20350056;171.88;224.01;8.12;255.00
20400056;183.08;-198.16;-3.08;255.00
20450056;173.18;198.16;6.82;255.00
20500056;183.08;-198.16;-3.08;255.00
20550056;173.18;206.78;6.82;255.00
20600056;183.51;-189.55;-3.51;255.00
20650056;174.04;198.16;5.96;255.00
20700056;183.95;-189.55;-3.95;255.00
20750056;174.47;206.78;5.53;255.00
20800056;184.81;-180.93;-4.81;255.00
20850056;175.76;189.55;4.24;255.00
20900056;185.24;-198.16;-5.24;255.00
20950056;175.33;198.16;4.67;255.00
21000056;185.24;-180.93;-5.24;255.00
21050056;176.19;215.39;3.81;255.00
21100056;186.96;-198.16;-6.96;255.00
21150056;177.05;-198.16;2.95;255.00
21200056;167.14;551.40;12.86;255.00
21250056;194.72;-241.24;-14.72;255.00
21300056;182.65;-224.01;-2.65;255.00
21350056;171.45;594.48;8.55;255.00
21400056;201.18;-258.47;-21.18;255.00
21450056;188.25;-224.01;-8.25;255.00
21500056;177.05;-594.48;2.95;255.00
21550056;147.33;758.18;32.67;255.00
21600056;185.24;-301.55;-5.24;255.00
21650056;170.16;224.01;9.84;255.00
21700060;181.36;-189.55;-1.36;255.00
21750060;171.88;206.78;8.12;255.00
21800060;182.22;-180.93;-2.22;255.00
21850060;173.18;198.16;6.82;255.00
21900060;183.08;-189.55;-3.08;255.00
21950060;173.61;198.16;6.39;255.00
22000060;183.51;-189.55;-3.51;255.00
22050060;174.04;206.78;5.96;255.00
22100060;184.38;-198.16;-4.38;255.00
22150060;174.47;198.16;5.53;255.00
22200060;184.38;-189.55;-4.38;255.00
22250060;174.90;189.55;5.10;255.00
22300060;184.38;-206.78;-4.38;255.00
22350060;174.04;180.93;5.96;255.00
22400060;183.08;-198.16;-3.08;255.00
22450060;173.18;206.78;6.82;255.00
22500060;183.51;-189.55;-3.51;255.00
22550060;174.04;206.78;5.96;255.00
22600060;184.38;-198.16;-4.38;255.00
22650060;174.47;206.78;5.53;255.00
22700060;184.81;-189.55;-4.81;255.00
22750060;175.33;206.78;4.67;255.00
22800060;185.67;-198.16;-5.67;255.00
22850060;175.76;198.16;4.24;255.00
22900060;185.67;-180.93;-5.67;255.00
22950060;176.62;198.16;3.38;255.00
23000064;186.53;-180.93;-6.53;255.00
23050064;177.48;206.78;2.52;76.53
23100064;187.82;-327.40;-7.82;255.00
23150064;171.45;465.25;8.55;255.00
23200064;194.72;-232.62;-14.72;255.00
23250064;183.08;-206.78;-3.08;255.00
23300064;172.75;585.87;7.25;255.00
23350064;202.04;-258.47;-22.04;255.00
23400064;189.11;-215.39;-9.11;255.00
23450064;178.35;-594.48;1.65;255.00
