t;teta(t);wr(t);erreur;pwm
26750072;173.61;86.16;6.39;255.00
26800076;177.91;103.39;2.09;255.00
26850076;183.08;-198.16;-3.08;255.00
26900076;173.18;103.39;6.82;255.00
26950076;178.35;120.62;1.65;255.00
27000076;184.38;-215.39;-4.38;255.00
27050076;173.61;34.46;6.39;255.00
27100076;175.33;112.00;4.67;255.00
27150076;180.93;-215.39;-0.93;255.00
27200076;170.16;137.85;9.84;255.00
27250076;177.05;103.39;2.95;255.00
27300076;182.22;-224.01;-2.22;255.00
27350076;171.02;103.39;8.98;255.00
27400076;176.19;103.39;3.81;255.00
27450076;181.36;-241.24;-1.36;255.00
27500076;169.30;34.46;10.70;255.00
27550076;171.02;103.39;8.98;255.00
27600080;176.19;215.39;3.81;255.00
27650080;186.96;-258.47;-6.96;255.00
27700080;174.04;120.62;5.96;255.00
27750080;180.07;103.39;-0.07;255.00
27800080;185.24;-232.62;-5.24;255.00
27850080;173.61;129.24;6.39;255.00
27900080;180.07;112.00;-0.07;255.00
27950088;185.67;-232.62;-5.67;255.00
28000088;174.04;155.08;5.96;255.00
28050088;181.79;-103.39;-1.79;255.00
28100088;176.62;86.16;3.38;255.00
28150088;180.93;-77.54;-0.93;255.00
28200088;177.05;86.16;2.95;255.00
28250088;181.36;-129.24;-1.36;255.00
28300088;174.90;34.46;5.10;255.00
28350088;176.62;103.39;3.38;255.00
28400088;181.79;-232.62;-1.79;255.00
28450088;170.16;146.47;9.84;255.00
28500088;177.48;112.00;2.52;255.00
28550088;183.08;-241.24;-3.08;255.00
28600088;171.02;146.47;8.98;255.00
28650092;178.35;103.39;1.65;255.00
28700092;183.51;-232.62;-3.51;255.00
28750092;171.88;51.69;8.12;255.00
28800092;174.47;68.93;5.53;255.00
28850092;177.91;232.62;2.09;255.00
28900092;189.55;-249.86;-9.55;255.00
28950092;177.05;68.93;2.95;255.00
29000092;180.50;60.31;-0.50;255.00
29050092;183.51;-258.47;-3.51;255.00
29100092;170.59;17.23;9.41;255.00
29150092;171.45;60.31;8.55;255.00
29200092;174.47;267.09;5.53;255.00
29250092;187.82;-249.86;-7.82;255.00
29300092;175.33;94.77;4.67;255.00
29350092;180.07;103.39;-0.07;255.00
29400092;185.24;-275.70;-5.24;255.00
29450092;171.45;103.39;8.55;255.00
29500092;176.62;112.00;3.38;255.00
29550092;182.22;258.47;-2.22;255.00
29600092;195.15;-318.78;-15.15;255.00
29650092;179.21;112.00;0.79;255.00
29700092;184.81;-103.39;-4.81;255.00
29750092;179.64;77.54;0.36;255.00
29800092;183.51;-103.39;-3.51;255.00
29850092;178.35;51.69;1.65;255.00
29900092;180.93;120.62;-0.93;255.00
29950092;186.96;-224.01;-6.96;255.00
30000092;175.76;103.39;4.24;255.00
30050092;180.93;43.08;-0.93;255.00
30100092;183.08;-232.62;-3.08;255.00
30150092;171.45;103.39;8.55;255.00
30200092;176.62;112.00;3.38;255.00
30250092;182.22;-249.86;-2.22;255.00
30300092;169.73;112.00;10.27;255.00
