Time,X(CH1),
Second,Volt,
1.0959979e-03,9.92000e+00,
1.0999979e-03,1.00000e+01,
1.1039979e-03,9.84000e+00,
1.1079980e-03,1.00000e+01,
1.1119980e-03,9.92000e+00,
1.1159980e-03,1.00000e+01,
1.1199981e-03,9.92000e+00,
1.1239981e-03,9.84000e+00,
1.1279981e-03,9.92000e+00,
1.1319981e-03,9.84000e+00,
1.1359982e-03,9.92000e+00,
1.1399982e-03,9.84000e+00,
1.1439982e-03,9.92000e+00,
1.1479983e-03,1.00000e+01,
1.1519983e-03,9.84000e+00,
1.1559983e-03,1.00000e+01,
1.1599984e-03,9.92000e+00,
1.1639984e-03,1.00000e+01,
1.1679984e-03,9.84000e+00,
1.1719984e-03,1.00000e+01,
1.1759985e-03,9.92000e+00,
1.1799985e-03,9.84000e+00,
1.1839985e-03,1.00000e+01,
1.1879986e-03,9.92000e+00,
1.1919986e-03,9.92000e+00,
1.1959986e-03,1.00000e+01,
1.1999987e-03,9.84000e+00,
1.2039987e-03,1.00000e+01,
1.2079987e-03,1.00000e+01,
1.2119988e-03,9.84000e+00,
1.2159988e-03,1.00000e+01,
1.2199988e-03,9.92000e+00,
1.2239988e-03,1.00000e+01,
1.2279989e-03,9.84000e+00,
1.2319989e-03,9.92000e+00,
1.2359989e-03,9.92000e+00,
1.2399990e-03,1.00000e+01,
1.2439990e-03,9.92000e+00,
1.2479990e-03,9.92000e+00,
1.2519991e-03,1.00000e+01,
1.2559991e-03,9.92000e+00,
1.2599991e-03,1.00000e+01,
1.2639991e-03,1.00000e+01,
1.2679992e-03,9.92000e+00,
1.2719992e-03,1.00000e+01,
1.2759992e-03,9.84000e+00,
1.2799993e-03,9.92000e+00,
1.2839993e-03,9.84000e+00,
1.2879993e-03,9.92000e+00,
1.2919994e-03,1.00000e+01,
1.2959994e-03,1.00000e+01,
1.2999994e-03,9.92000e+00,
1.3039995e-03,9.92000e+00,
1.3079995e-03,9.84000e+00,
1.3119995e-03,9.92000e+00,
1.3159995e-03,1.00000e+01,
1.3199996e-03,1.00000e+01,
1.3239996e-03,9.84000e+00,
1.3279996e-03,9.92000e+00,
1.3319997e-03,9.84000e+00,
1.3359997e-03,9.92000e+00,
1.3399997e-03,1.00000e+01,
1.3439998e-03,1.00000e+01,
1.3479998e-03,9.84000e+00,
1.3519998e-03,9.92000e+00,
1.3559998e-03,9.84000e+00,
1.3599999e-03,9.84000e+00,
1.3639999e-03,1.00000e+01,
1.3679999e-03,9.92000e+00,
1.3720000e-03,9.84000e+00,
1.3760000e-03,9.92000e+00,
1.3800000e-03,9.84000e+00,
1.3840001e-03,9.84000e+00,
1.3880001e-03,1.00000e+01,
1.3920001e-03,9.92000e+00,
1.3960002e-03,9.84000e+00,
1.4000002e-03,9.84000e+00,
1.4040002e-03,9.92000e+00,
1.4080002e-03,9.92000e+00,
1.4120003e-03,1.00000e+01,
1.4160003e-03,9.92000e+00,
1.4200003e-03,9.92000e+00,
1.4240004e-03,9.84000e+00,
1.4280004e-03,9.92000e+00,
1.4320004e-03,1.00000e+01,
1.4360005e-03,9.84000e+00,
1.4400005e-03,9.92000e+00,
1.4440005e-03,9.84000e+00,
1.4480005e-03,9.84000e+00,
1.4520006e-03,9.92000e+00,
1.4560006e-03,9.92000e+00,
1.4600006e-03,1.00000e+01,
1.4640007e-03,9.84000e+00,
1.4680007e-03,9.92000e+00,
1.4720007e-03,9.84000e+00,
1.4760008e-03,1.00000e+01,
1.4800008e-03,1.00000e+01,
1.4840008e-03,9.84000e+00,
1.4880009e-03,9.92000e+00,
1.4920009e-03,9.84000e+00,
1.4960009e-03,9.84000e+00,
1.5000009e-03,1.00000e+01,
1.5040010e-03,9.84000e+00,
1.5080010e-03,1.00000e+01,
1.5120010e-03,9.92000e+00,
1.5160011e-03,9.84000e+00,
1.5200011e-03,9.92000e+00,
1.5240011e-03,9.84000e+00,
1.5280012e-03,9.84000e+00,
1.5320012e-03,1.00000e+01,
1.5360012e-03,9.84000e+00,
1.5400012e-03,9.92000e+00,
1.5440013e-03,9.92000e+00,
1.5480013e-03,9.84000e+00,
1.5520013e-03,1.00000e+01,
1.5560014e-03,9.84000e+00,
1.5600014e-03,1.00000e+01,
1.5640014e-03,9.84000e+00,
1.5680015e-03,9.92000e+00,
1.5720015e-03,9.84000e+00,
1.5760015e-03,9.92000e+00,
1.5800016e-03,1.00000e+01,
1.5840016e-03,9.92000e+00,
1.5880016e-03,1.00000e+01,
1.5920016e-03,9.92000e+00,
1.5960017e-03,9.84000e+00,
1.6000017e-03,9.92000e+00,
1.6040017e-03,1.00000e+01,
1.6080018e-03,1.00000e+01,
1.6120018e-03,9.92000e+00,
1.6160018e-03,9.92000e+00,
1.6200019e-03,9.84000e+00,
1.6240019e-03,9.84000e+00,
1.6280019e-03,1.00000e+01,
1.6320019e-03,1.00000e+01,
1.6360020e-03,9.84000e+00,
1.6400020e-03,9.92000e+00,
1.6440020e-03,9.84000e+00,
1.6480021e-03,9.84000e+00,
1.6520021e-03,1.00000e+01,
1.6560021e-03,1.00000e+01,
1.6600022e-03,9.84000e+00,
1.6640022e-03,9.84000e+00,
1.6680022e-03,9.92000e+00,
1.6720023e-03,9.84000e+00,
1.6760023e-03,1.00000e+01,
1.6800023e-03,9.92000e+00,
1.6840023e-03,9.84000e+00,
1.6880024e-03,9.92000e+00,
1.6920024e-03,9.84000e+00,
1.6960024e-03,9.84000e+00,
1.7000025e-03,9.92000e+00,
1.7040025e-03,9.84000e+00,
1.7080025e-03,1.00000e+01,
1.7120026e-03,9.84000e+00,
1.7160026e-03,9.92000e+00,
1.7200026e-03,9.84000e+00,
1.7240027e-03,9.92000e+00,
1.7280027e-03,9.84000e+00,
1.7320027e-03,9.92000e+00,
1.7360027e-03,9.92000e+00,
1.7400028e-03,9.84000e+00,
1.7440028e-03,9.84000e+00,
1.7480028e-03,1.00000e+01,
1.7520029e-03,9.92000e+00,
1.7560029e-03,9.84000e+00,
1.7600029e-03,9.84000e+00,
1.7640030e-03,9.92000e+00,
1.7680030e-03,9.92000e+00,
1.7720030e-03,9.84000e+00,
1.7760030e-03,9.92000e+00,
1.7800031e-03,1.00000e+01,
1.7840031e-03,9.84000e+00,
1.7880031e-03,9.92000e+00,
1.7920032e-03,9.92000e+00,
1.7960032e-03,9.84000e+00,
1.8000032e-03,9.92000e+00,
1.8040033e-03,9.84000e+00,
1.8080033e-03,9.92000e+00,
1.8120033e-03,9.84000e+00,
1.8160034e-03,9.92000e+00,
1.8200034e-03,9.84000e+00,
1.8240034e-03,9.84000e+00,
1.8280034e-03,9.92000e+00,
1.8320035e-03,9.92000e+00,
1.8360035e-03,9.84000e+00,
1.8400035e-03,9.92000e+00,
1.8440036e-03,9.84000e+00,
1.8480036e-03,1.00000e+01,
1.8520036e-03,9.84000e+00,
1.8560037e-03,9.92000e+00,
1.8600037e-03,9.84000e+00,
1.8640037e-03,9.92000e+00,
1.8680037e-03,9.84000e+00,
1.8720038e-03,9.92000e+00,
1.8760038e-03,9.92000e+00,
1.8800038e-03,1.00000e+01,
1.8840039e-03,9.84000e+00,
1.8880039e-03,1.00000e+01,
1.8920039e-03,9.92000e+00,
1.8960040e-03,9.92000e+00,
1.9000040e-03,9.84000e+00,
1.9040040e-03,1.00000e+01,
1.9080041e-03,9.92000e+00,
1.9120041e-03,9.92000e+00,
1.9160041e-03,9.84000e+00,
1.9200041e-03,9.84000e+00,
1.9240042e-03,1.00000e+01,
1.9280042e-03,9.92000e+00,
1.9320042e-03,9.84000e+00,
1.9360043e-03,9.92000e+00,
1.9400043e-03,1.00000e+01,
1.9440043e-03,9.92000e+00,
1.9480044e-03,9.92000e+00,
1.9520044e-03,9.92000e+00,
1.9560044e-03,9.84000e+00,
1.9600044e-03,9.84000e+00,
1.9640045e-03,9.92000e+00,
1.9680045e-03,9.92000e+00,
1.9720045e-03,1.00000e+01,
1.9760046e-03,1.00000e+01,
1.9800046e-03,9.84000e+00,
1.9840046e-03,9.92000e+00,
1.9880047e-03,9.84000e+00,
